NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
meson;https://github.com/staysail/tree-sitter-meson;2022-11-02;14;true;false;false
meson;https://github.com/Decodetalkers/tree-sitter-meson;2025-07-02;14;true;false;false
mlir;https://github.com/artagnon/tree-sitter-mlir;2025-07-18;15;true;false;false
modelica;https://github.com/modelicahub/tree-sitter-modelica;2024-09-10;14;true;false;false
monkey;https://github.com/jamestrew/tree-sitter-monkey;2022-11-17;14;true;false;false
move;https://github.com/tree-sitter-grammars/tree-sitter-move;2023-02-11;14;true;false;false
muttrc;https://github.com/neomutt/tree-sitter-muttrc;2024-08-04;14;true;false;false
nasm;https://github.com/naclsn/tree-sitter-nasm;2024-11-23;14;true;false;false
nginx;https://github.com/opa-oz/tree-sitter-nginx;2025-01-25;14;true;true;false
nginx;https://gitlab.com/joncoole/tree-sitter-nginx;2024-10-15;14;true;true;false
nickel;https://github.com/nickel-lang/tree-sitter-nickel;2025-06-02;15;true;true;false
nim;https://github.com/alaviss/tree-sitter-nim;2025-06-25;14;true;true;false
nim_format_string;https://github.com/aMOPel/tree-sitter-nim-format-string;2023-10-21;14;true;false;false
ninja;https://github.com/alemuller/tree-sitter-ninja;2022-01-07;13;true;false;false
nix;https://github.com/nix-community/tree-sitter-nix;2025-07-18;13;true;true;false
noir;https://github.com/hhamud/tree-sitter-noir;2023-10-22;14;true;true;false
nois;https://github.com/nois-lang/tree-sitter-nois;2024-04-20;14;true;false;false
norg_meta;https://github.com/nvim-neorg/tree-sitter-norg-meta;2024-04-13;14;true;false;false
nqc;https://github.com/tree-sitter-grammars/tree-sitter-nqc;2023-08-31;14;true;false;false
nu;https://github.com/LhKipp/tree-sitter-nu;2025-02-15;14;true;true;false
nu;https://github.com/fdncred/tree-sitter-nu;2025-03-29;14;true;true;false
nu;https://github.com/nushell/tree-sitter-nu;2025-07-16;15;true;true;false
objc;https://github.com/jiyee/tree-sitter-objc;2022-08-11;13;true;false;false
objc;https://github.com/tree-sitter-grammars/tree-sitter-objc;2025-01-31;14;true;false;false
objdump;https://github.com/ColinKennedy/tree-sitter-objdump;2023-11-13;14;true;true;false
ocaml;https://github.com/tree-sitter/tree-sitter-ocaml;2025-05-31;15;true;true;false
ocaml_interface;https://github.com/tree-sitter/tree-sitter-ocaml;2025-05-31;15;true;true;false
ocaml_type;https://github.com/tree-sitter/tree-sitter-ocaml;2025-05-31;15;true;true;false
ocamllex;https://github.com/atom-ocaml/tree-sitter-ocamllex;2025-05-17;14;true;true;false
odin;https://github.com/MineBill/tree-sitter-odin;2022-11-12;14;true;false;false
odin;https://github.com/tree-sitter-grammars/tree-sitter-odin;2024-12-30;14;true;true;false
ohm;https://github.com/novusnota/tree-sitter-ohm;2024-03-24;14;true;true;false
openscad;https://github.com/bollian/tree-sitter-openscad;2024-03-25;14;true;false;false
org;https://github.com/milisims/tree-sitter-org;2023-06-19;14;true;true;false
p4;https://github.com/ace-design/tree-sitter-p4;2024-01-29;14;true;true;false
papyrus;https://github.com/open-papyrus/tree-sitter-papyrus;2022-11-23;14;true;false;false
pascal;https://github.com/Isopod/tree-sitter-pascal;2025-05-11;14;true;false;false
passwd;https://github.com/ath3/tree-sitter-passwd;2022-12-01;14;true;false;false
pem;https://github.com/tree-sitter-grammars/tree-sitter-pem;2025-07-18;15;true;false;false
perl;https://github.com/ganezdragon/tree-sitter-perl;2025-03-29;14;true;true;false
perl;https://github.com/tree-sitter-perl/tree-sitter-perl;2025-05-18;-;true;true;false
pgn;https://github.com/rolandwalker/tree-sitter-pgn;2024-10-05;14;true;true;false
php;https://github.com/tree-sitter/tree-sitter-php;2025-06-12;15;true;true;true
php_only;https://github.com/tree-sitter/tree-sitter-php;2025-06-12;15;true;true;false
phpdoc;https://github.com/claytonrcarter/tree-sitter-phpdoc;2025-04-02;14;true;true;false
pioasm;https://github.com/leo60228/tree-sitter-pioasm;2024-10-11;14;true;true;false
pkl;https://github.com/apple/tree-sitter-pkl;2025-05-05;15;true;true;false
plantuml;https://github.com/lyndsysimon/tree-sitter-plantuml;2021-12-09;13;true;false;false
plantuml;https://github.com/Decodetalkers/tree_sitter_plantuml;2023-09-01;-;false;false;false
po;https://github.com/tree-sitter-grammars/tree-sitter-po;2024-04-20;14;true;false;false
pod;https://github.com/tree-sitter-perl/tree-sitter-pod;2024-08-23;-;false;true;false
poe_filter;https://github.com/tree-sitter-grammars/tree-sitter-poe-filter;2025-06-29;14;true;false;false
pony;https://github.com/tree-sitter-grammars/tree-sitter-pony;2024-04-20;14;true;true;false
powershell;https://github.com/airbus-cert/tree-sitter-powershell;2025-07-16;14;true;true;false
printf;https://github.com/tree-sitter-grammars/tree-sitter-printf;2025-07-16;14;true;false;false
prisma;https://github.com/victorhqc/tree-sitter-prisma;2025-01-24;14;true;false;false
problog;https://codeberg.org/foxy/tree-sitter-prolog;2025-03-23;14;true;false;false
prolog;https://github.com/Rukiza/tree-sitter-prolog;2023-12-23;14;true;false;false
prolog;https://codeberg.org/foxy/tree-sitter-prolog;2025-03-23;14;true;false;false
promela;https://github.com/siraben/tree-sitter-promela;2022-02-11;13;true;false;false
promql;https://github.com/MichaHoffmann/tree-sitter-promql;2023-08-13;14;true;false;false
properties;https://github.com/tree-sitter-grammars/tree-sitter-properties;2025-07-14;14;true;true;false
proto;https://github.com/mitchellh/tree-sitter-proto;2021-06-12;13;true;false;false
proto;https://github.com/treywood/tree-sitter-proto;2023-08-02;14;true;false;false
prql;https://github.com/PRQL/tree-sitter-prql;2023-07-28;14;true;false;false
psv;https://github.com/tree-sitter-grammars/tree-sitter-csv;2024-04-27;14;true;false;false
pug;https://github.com/zealot128/tree-sitter-pug;2024-11-17;14;true;true;false
puppet;https://github.com/tree-sitter-grammars/tree-sitter-puppet;2024-12-21;14;true;false;false
purescript;https://github.com/postsolar/tree-sitter-purescript;2025-06-17;15;true;true;false
pymanifest;https://github.com/tree-sitter-grammars/tree-sitter-pymanifest;2025-07-19;14;true;false;false
python;https://github.com/tree-sitter/tree-sitter-python;2025-01-30;14;true;true;true
ql;https://github.com/tree-sitter/tree-sitter-ql;2024-11-10;14;true;false;false
qmldir;https://github.com/Decodetalkers/tree-sitter-qmldir;2023-03-01;14;true;false;false
qmljs;https://github.com/yuja/tree-sitter-qmljs;2025-04-01;14;true;true;false
quakec;https://github.com/vkazanov/tree-sitter-quakec;2024-07-18;14;true;false;false
query;https://github.com/tree-sitter-grammars/tree-sitter-query;2025-06-15;15;true;false;false
r;https://github.com/r-lib/tree-sitter-r;2025-06-27;14;true;true;false
racket;https://github.com/6cdh/tree-sitter-racket;2025-05-17;14;true;true;false
ralph;https://github.com/alephium/tree-sitter-ralph;2024-06-24;14;true;false;false
